id	state	year	spend	population	crime	crime_rate	spend_rate	ratio	
Pennsylvania::2009	Pennsylvania	2009	31905.34	12604767	48188	0.003822998076838707	0.002531212199321098	0.6621013530339503	
Illinois::2010	Illinois	2010	1301752.82	12841980	57132	0.004448846673176566	0.10136698702225047	22.785003500665127	
Pennsylvania::2008	Pennsylvania	2008	414904.0	12448279	51044	0.004100486500985398	0.03333022982534373	8.12835984640702	
Illinois::2011	Illinois	2011	1.116162192E7	12859752	54523	0.004239817377504636	0.8679500133439587	204.71400913376007	
Guam::2009	Guam	2009	120659.28				120659.28	120659.28	
Illinois::2012	Illinois	2012	2.292392838E7	12875255	53403	0.004147723676152433	1.780464028091094	429.262932419527	
Virgin Islands::2006	Virgin Islands	2006	92290.0				92290.0	92290.0	
Missouri::2011	Missouri	2011	2468518.56	6008984	26888	0.004474633315715269	0.4108046485063032	91.80744421303184	
Missouri::2010	Missouri	2010	206558.52	5995715	27440	0.0045766017897782	0.03445102377281108	7.527642857142856	
New York::2012	New York	2012	6405548.71	19570261	79610	0.004067906912432083	0.32731033633123235	80.46160921994725	
Nevada::2012	Nevada	2012	2221342.42	2758931	16763	0.006075904036744666	0.8051460583827577	132.51461074986577	
Missouri::2012	Missouri	2012	5256286.44	6021988	27155	0.004509308221803165	0.872849039220935	193.56606297182842	
New York::2010	New York	2010	2978117.09	19395206	76492	0.00394386117889132	0.153549134255135	38.9337066621346	
Nevada::2010	Nevada	2010	246513.56999999998	2704283	17929	0.0066298534583843485	0.09115672065386647	13.749432204807851	
New York::2011	New York	2011	1196157.09	19501616	77463	0.003972132360723337	0.06133630618098521	15.441657178265753	
Nevada::2011	Nevada	2011	559165.41	2720028	15452	0.005680823873871887	0.20557340218556575	36.187251488480456	
Nevada::2009	Nevada	2009	346756.58999999997	2643085	18639	0.007051986598993222	0.13119388517584563	18.6038194109126	
Missouri::2009	Missouri	2009	2236561.75	5987580	29513	0.00492903643876157	0.37353350602413665	75.78225697150408	
Nevada::2007	Nevada	2007	66726.0	2565382	19365	0.007548583407851151	0.026010161449639857	3.44570100697134	
Nevada::2008	Nevada	2008	482758.66	2600167	18973	0.00729683901072508	0.18566448231978944	25.444508512096135	
Nevada::2006	Nevada	2006	37616.0	2495529	18687	0.007488191882362417	0.015073357192002177	2.0129501792690103	
Guam::2010	Guam	2010	189284.0				189284.0	189284.0	
Virgin Islands::2008	Virgin Islands	2008	690.0				690.0	690.0	
Guam::2011	Guam	2011	354102.33999999997				354102.33999999997	354102.33999999997	
New Mexico::2012	New Mexico	2012	4248091.63	2085538	11660	0.005590883503441319	2.0369284232653637	364.3303284734134	
Guam::2012	Guam	2012	4147042.82				4147042.82	4147042.82	
West Virginia::2010	West Virginia	2010	940146.04	1854368	5586	0.003012347063797477	0.5069900041415728	168.3039813820265	
Virginia::2012	Virginia	2012	3454867.45	8185867	15564	0.0019013257850390192	0.4220527220879597	221.97811937805193	
West Virginia::2012	West Virginia	2012	5528261.27	1855413	5869	0.003163177147082617	2.979531387351495	941.9426256602487	
Virginia::2011	Virginia	2011	1851025.93	8104384	16014	0.0019759675750803517	0.2283981028046055	115.58798114150119	
West Virginia::2011	West Virginia	2011	3054600.06	1854908	5497	0.002963489294347752	1.646766340972167	555.6849299617974	
Virginia::2010	Virginia	2010	155437.56	8023953	17184	0.002141587818373313	0.019371693727518093	9.045481843575418	
Pennsylvania::2007	Pennsylvania	2007	10171.0	12432792	51806	0.004166883834298844	8.180785136596832E-4	0.19632861058564646	
New Mexico::2011	New Mexico	2011	1774390.67	2078674	11904	0.0057267277119933185	0.8536166180940349	149.05835601478495	
Pennsylvania::2006	Pennsylvania	2006	33751.0	12440621	55028	0.00442325186178407	0.0027129674636016963	0.6133422984662353	
New Mexico::2010	New Mexico	2010	523204.21	2065913	12147	0.005879724848045392	0.2532556840486507	43.072710134189514	
New York::2009	New York	2009		19541453	75110	0.0038436241153613298	0.0	0.0	
New York::2007	New York	2007	4830.0	19297729	79962	0.00414359637862051	2.502885184054559E-4	0.06040369175358295	
Virginia::2009	Virginia	2009	352294.36	7882590	18195	0.0023082514757205436	0.044692716480243165	19.36215223962627	
New York::2008	New York	2008	1518.0	19490297	77546	0.003978697707890239	7.78849085778426E-5	0.01957547778093003	
Virginia::2008	Virginia	2008	399240.32	7769089	20031	0.0025782945722465016	0.051388305630171056	19.93112275972243	
Maine::2009	Maine	2009	666381.45	1318301	1580	0.001198512327609552	0.5054850523514736	421.76041139240505	
Virginia::2007	Virginia	2007	33892.65	7712091	21035	0.002727535243035903	0.0043947419707573475	1.6112502971238414	
New York::2006	New York	2006	2964.68	19306183	84016	0.004351766478127759	1.535611674249643E-4	0.0352870881736812	
Maine::2008	Maine	2008	24458.46	1316456	1572	0.0011941151090503594	0.018579018212534257	15.55881679389313	
Virginia::2006	Virginia	2006	357704.65	7642884	21683	0.002837018068048658	0.0468023131058904	16.497009177696814	
Pennsylvania::2010	Pennsylvania	2010	38668.53	12717722	46612	0.0036651217883202666	0.003040523294973738	0.8295831545524758	
Maine::2007	Maine	2007	24492.0	1317207	1565	0.0011881200145459293	0.018593888432114316	15.649840255591055	
Maine::2006	Maine	2006	86758.21	1321574	1533	0.001159980447557231	0.06564763683304908	56.593744292237446	
Pennsylvania::2012	Pennsylvania	2012	2758460.17	12763536	44503	0.0034867296962221126	0.21612037369581594	61.9836903130126	
Pennsylvania::2011	Pennsylvania	2011	1112748.33	12743948	46189	0.0036243870423827845	0.08731582473500363	24.091197687761156	
