id	year	state	county	spend	crime	ratio
2008::NC::ROBESON	2008	NC	Robeson	624.1	446	1.399327354
2008::MS::HARRISON	2008	MS	Harrison	92290	230	401.2608696
2012::NY::CHENANGO	2012	NY	Chenango	998	20	49.9
2011::AZ::APACHE	2011	AZ	Apache 	600000	45	13333.33333
2006::MS::BOLIVAR	2006	MS	Bolivar	2994	28	106.9285714
2012::PA::WESTMORELAND	2012	PA	Westmoreland	6382	165	38.67878788
2008::OH::FRANKLIN	2008	OH	Franklin	7830.56	6396	1.224290181
2007::CO::ADAMS	2007	CO	Adams	1242	1400	0.887142857
2011::WI::WALWORTH	2011	WI	Walworth 	2177.63	12	181.4691667
2009::CA::CALAVERAS	2009	CA	Calaveras	545.69	68	8.024852941
2009::KY::SHELBY	2009	KY	Shelby	9042.77	29	311.8196552
2011::MO::CALLAWAY	2011	MO	Callaway	25000	60	416.6666667
2010::WA::PIERCE	2010	WA	Pierce	52614.85	3608	14.58282982
2008::ID::MADISON	2008	ID	Madison	998	9	110.8888889
2012::TX::VAL VERDE	2012	TX	Val Verde	8811	61	144.442623
2006::TX::WILLIAMSON	2006	TX	Williamson	469303.15	506	927.476581
2011::OH::PORTAGE	2011	OH	Portage	75000	93	806.4516129
2011::NH::CARROLL	2011	NH	Carroll	84904	28	3032.285714
2010::OK::OKLAHOMA	2010	OK	Oklahoma	387778	5930	65.3925801
2012::TN::HENRY	2012	TN	Henry	575231.87	59	9749.692712
2011::TX::ELLIS	2011	TX	Ellis 	67230	51	1318.235294
2010::CA::SAN FRANCISCO	2010	CA	San Francisco	47232	5747	8.218548808
2007::MD::HARFORD	2007	MD	Harford	65070	717	90.75313808
